Date,Name,Year,Letterboxd URI,Rating
2023-04-18,Forrest Gump,1994,https://boxd.it/728,3.5
2023-04-18,Skyfall,2012,https://boxd.it/17Fc,2
2023-04-18,(500) Days of Summer,2009,https://boxd.it/1EmM,2.5
2023-04-18,Shutter Island,2010,https://boxd.it/1U82,3.5
2023-04-18,Fallen Angels,1995,https://boxd.it/1UkW,3
2023-04-18,Chungking Express,1994,https://boxd.it/1UDa,3.5
2023-04-18,Clueless,1995,https://boxd.it/1Ygk,3
2023-04-18,Pulp Fiction,1994,https://boxd.it/29Pq,4
2023-04-18,Casino,1995,https://boxd.it/2ads,2.5
2023-04-18,Reservoir Dogs,1992,https://boxd.it/2agc,4
2023-04-18,Basic Instinct,1992,https://boxd.it/2asM,2
2023-04-18,Jurassic Park,1993,https://boxd.it/2aA2,3.5
2023-04-18,The Shawshank Redemption,1994,https://boxd.it/2aHi,3.5
2023-04-18,The Silence of the Lambs,1991,https://boxd.it/2aHW,3.5
2023-04-18,Léon: The Professional,1994,https://boxd.it/2b8S,2.5
2023-04-18,Before Sunrise,1995,https://boxd.it/2bcU,4.5
2023-04-18,Heat,1995,https://boxd.it/2bg8,2.5
2023-04-18,Silver Linings Playbook,2012,https://boxd.it/2TTo,3.5
2023-04-18,Paddington,2014,https://boxd.it/3RKw,3
2023-04-18,Friends,1993,https://boxd.it/5VZ0,5
2023-04-18,Thor: Love and Thunder,2022,https://boxd.it/mMAY,1.5
2023-04-18,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3
2023-04-18,The Worst Person in the World,2021,https://boxd.it/oyws,3
2023-04-18,Amsterdam,2022,https://boxd.it/oJ58,3
2023-04-18,Never Have I Ever,2020,https://boxd.it/rhug,4
2023-04-18,X-Men: First Class,2011,https://boxd.it/FOA,2
2023-04-18,The Social Network,2010,https://boxd.it/17ue,3
2023-04-18,The Truman Show,1998,https://boxd.it/18U8,3
2023-04-18,3 Idiots,2009,https://boxd.it/1Dsa,4
2023-04-18,A Wednesday!,2008,https://boxd.it/1EFE,3.5
2023-04-18,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,2.5
2023-04-18,Iron Man 2,2010,https://boxd.it/1WZM,2.5
2023-04-18,The Game,1997,https://boxd.it/26vC,2.5
2023-04-18,Saving Private Ryan,1998,https://boxd.it/29ro,3.5
2023-04-18,In the Mood for Love,2000,https://boxd.it/29tE,4
2023-04-18,Se7en,1995,https://boxd.it/29zs,3.5
2023-04-18,The Usual Suspects,1995,https://boxd.it/29XE,2
2023-04-18,The Matrix,1999,https://boxd.it/2a1m,2.5
2023-04-18,Titanic,1997,https://boxd.it/2a2k,4
2023-04-18,Good Will Hunting,1997,https://boxd.it/2ahY,4
2023-04-18,Eyes Wide Shut,1999,https://boxd.it/2axs,3.5
2023-04-18,Fargo,1996,https://boxd.it/2aHM,3
2023-04-18,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,3.5
2023-04-18,American History X,1998,https://boxd.it/2bdo,3
2023-04-18,Iron Man 3,2013,https://boxd.it/2cBQ,2.5
2023-04-18,Doctor Strange,2016,https://boxd.it/8MH8,3
2023-04-18,The Irishman,2019,https://boxd.it/dYOq,4
2023-04-18,Dune,2021,https://boxd.it/fA7G,3.5
2023-04-18,Bullet Train,2022,https://boxd.it/qW26,3
2023-04-18,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,3
2023-04-18,The Great Gatsby,2013,https://boxd.it/JY,3
2023-04-18,Midnight in Paris,2011,https://boxd.it/i4a,3
2023-04-18,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,3
2023-04-18,I Saw the Devil,2010,https://boxd.it/FaK,4
2023-04-18,Gravity,2013,https://boxd.it/GZY,3.5
2023-04-18,The Dark Knight Rises,2012,https://boxd.it/H3m,2.5
2023-04-18,Sherlock: Case of Evil,2002,https://boxd.it/MU6,2.5
2023-04-18,Inception,2010,https://boxd.it/1skk,4.5
2023-04-18,Following,1998,https://boxd.it/1Tj4,3
2023-04-18,10 Things I Hate About You,1999,https://boxd.it/23AO,3.5
2023-04-18,American Psycho,2000,https://boxd.it/28Vs,3.5
